gene_id,DRR095904,DRR095905,DRR095906,DRR095907,DRR095908,DRR095909
MSTRG.253,625,726,980,1031,830,583
MSTRG.256,6,0,0,143,152,70
MSTRG.255,82,110,82,656,594,307
MSTRG.257,0,0,0,2,3,1
MSTRG.258,35,61,90,294,251,251
MSTRG.259,3,4,16,19,18,22
MSTRG.260,27,95,20,668,541,299
MSTRG.263,0,52,30,181,178,105
MSTRG.262,276,627,385,759,450,363
MSTRG.264,277,417,449,175,212,276
MSTRG.266,23,0,0,248,181,103
MSTRG.267,8,35,47,581,630,339
MSTRG.269,6,11,14,112,111,85
MSTRG.268,95,180,138,1212,1023,715
MSTRG.271,39,75,60,322,207,225
MSTRG.273,8,15,5,0,6,7
MSTRG.272,103,218,193,601,583,339
gene-QOZ80_1AG0004170,0,0,0,18,8,4
MSTRG.274,53,107,86,282,198,163
MSTRG.275,80,150,242,927,901,647
MSTRG.276,17,35,30,114,109,77
MSTRG.277,113,120,112,13,30,2
MSTRG.278,363,266,299,4896,3592,1559
MSTRG.280,10,2,0,44,64,22
MSTRG.279,116,196,115,415,436,258
MSTRG.281,322,294,362,1295,1015,729
MSTRG.283,96,233,159,902,663,360
MSTRG.286,32,56,36,11,19,2
MSTRG.284,220,239,199,965,814,466
MSTRG.287,23,23,14,1515,1482,929
MSTRG.288,218,222,302,1267,948,527
MSTRG.289,20,0,0,1,0,0
MSTRG.290,0,16,8,14,5,3
MSTRG.291,29,5,19,107,70,43
MSTRG.292,96,124,152,476,426,234
MSTRG.293,142,204,174,863,653,452
MSTRG.294,443,534,641,718,525,323
MSTRG.296,0,0,24,38,44,15
gene-QOZ80_1AG0004500,2,5,8,2,2,1
MSTRG.299,39,51,52,1024,882,616
MSTRG.295,276,343,374,1027,1024,590
MSTRG.301,0,0,6,72,105,55
MSTRG.300,87,201,274,983,746,528
MSTRG.302,296,483,306,1051,860,534
MSTRG.304,9,40,23,582,547,277
MSTRG.303,136,176,166,476,317,221
MSTRG.305,33,111,154,411,370,233
gene-QOZ80_1AG0004580,9,0,0,2,4,0
MSTRG.306,55,70,111,342,302,157
gene-QOZ80_1AG0004620,5,0,5,15,25,9
MSTRG.307,335,692,509,2426,1598,986
MSTRG.308,130,108,199,352,328,288
MSTRG.309,31,61,116,50,49,12
MSTRG.310,2,18,0,8,0,0
MSTRG.313,0,0,6,56,53,37
MSTRG.311,22,53,55,509,423,276
MSTRG.318,39,56,101,338,303,217
MSTRG.316,43,71,86,469,501,379
MSTRG.317,0,0,0,0,0,0
MSTRG.319,72,24,47,21,46,33
MSTRG.320,45,54,31,206,161,131
MSTRG.322,0,0,0,23,16,20
MSTRG.321,13,0,19,137,120,55
MSTRG.323,15,89,69,118,75,50
MSTRG.326,13,44,22,235,188,133
MSTRG.327,395,379,380,2185,1518,651
MSTRG.328,135,141,233,2050,1229,696
MSTRG.329,147,150,121,1606,933,629
MSTRG.330,187,216,225,1428,1243,802
MSTRG.334,31,52,38,73,41,46
MSTRG.333,107,125,135,1506,1170,929
MSTRG.335,18,38,13,20,18,8
MSTRG.336,0,44,8,22,23,15
MSTRG.337,98,128,89,49,77,93
MSTRG.338,19,0,25,78,79,53
MSTRG.339,10,10,42,58,50,21
MSTRG.340,3,10,0,5,5,9
MSTRG.345,3,21,11,537,605,331
MSTRG.346,9,0,15,128,135,90
MSTRG.341,40,92,62,593,458,319
MSTRG.343,0,0,0,33,34,21
MSTRG.342,7,0,0,0,0,0
MSTRG.347,238,331,396,806,628,490
MSTRG.349,6,74,54,19,6,4
MSTRG.350,107,148,272,1050,794,345
MSTRG.351,406,462,405,1756,1111,600
MSTRG.352,229,304,193,993,681,441
MSTRG.354,49,27,72,668,405,239
MSTRG.356,16,22,21,74,23,26
MSTRG.357,32,34,61,1570,651,126
MSTRG.355,401,545,632,343,336,296
MSTRG.358,36,23,60,393,265,189
gene-QOZ80_1AG0005200,12,0,8,0,0,6
MSTRG.360,85,73,128,174,170,109
MSTRG.361,295,392,348,705,579,373
MSTRG.363,21,20,15,52,59,38
MSTRG.362,280,278,268,1185,864,613
MSTRG.364,315,429,482,1852,1256,864
MSTRG.365,156,128,241,556,552,232
MSTRG.367,1147,1745,1829,4987,4184,2649
MSTRG.368,426,389,464,1602,1089,760
MSTRG.370,12,0,5,18,45,27
MSTRG.369,163,142,92,192,145,91
MSTRG.371,483,491,357,4996,3945,2425
MSTRG.372,149,178,253,757,590,362
MSTRG.373,95,122,129,848,710,586
MSTRG.374,214,249,234,29,53,48
MSTRG.376,3,10,0,0,0,0
MSTRG.375,243,222,298,216,425,270
MSTRG.377,815,1028,915,3134,2267,1436
MSTRG.378,29,9,41,396,340,218
MSTRG.379,53,86,63,165,211,98
MSTRG.380,285,485,541,1140,988,767
MSTRG.382,42,72,32,599,1209,446
MSTRG.384,21,29,53,50,76,41
MSTRG.385,2,0,55,208,189,129
MSTRG.383,1046,1562,1435,1982,1610,1378
MSTRG.387,22,34,16,204,130,43
MSTRG.388,449,634,627,1963,1743,1256
MSTRG.389,211,230,301,29,93,38
MSTRG.390,152,481,243,1155,1179,767
MSTRG.391,76,113,100,754,554,327
MSTRG.392,129,130,67,2669,3520,601
MSTRG.393,536,573,596,2053,1903,1324
MSTRG.395,19,51,57,291,263,181
MSTRG.394,267,314,321,913,733,458
gene-QOZ80_1AG0005910,0,0,0,8,8,0
MSTRG.397,71,130,191,457,310,164
MSTRG.398,160,101,187,876,637,413
MSTRG.399,512,573,455,743,637,557
MSTRG.400,138,266,342,859,515,300
MSTRG.402,52,34,58,88,93,61
MSTRG.403,44,55,29,388,381,270
MSTRG.401,530,709,447,1145,1191,890
MSTRG.405,11,0,0,0,0,0
MSTRG.404,345,505,457,1797,1290,873
MSTRG.406,326,274,371,1497,1584,1423
MSTRG.407,246,347,394,16,40,51
MSTRG.408,4,37,29,4,6,0
MSTRG.409,387,428,524,50,119,83
MSTRG.410,70,83,86,80,60,18
MSTRG.411,63,87,103,306,257,207
MSTRG.412,109,119,137,545,377,240
gene-QOZ80_1AG0006230,37,41,20,65,75,25
MSTRG.415,6,12,14,69,39,14
MSTRG.413,1953,1356,1342,38412,55126,33982
MSTRG.418,0,8,0,0,0,0
MSTRG.417,38,0,9,61,51,22
MSTRG.416,1319,2036,2503,914,864,678
MSTRG.419,147,177,174,691,507,415
MSTRG.422,0,19,0,2,4,9
MSTRG.421,31,35,54,281,229,142
MSTRG.420,904,1550,1284,3533,3039,1835
MSTRG.423,1215,757,942,26892,16848,7657
gene-QOZ80_1AG0006350,0,0,0,2,4,0
MSTRG.424,150,150,136,1005,680,362
MSTRG.425,153,231,188,1085,1164,501
MSTRG.427,31,0,10,88,105,34
MSTRG.426,60,74,91,454,445,206
MSTRG.428,36,55,87,348,289,194
MSTRG.429,36,0,25,92,44,43
MSTRG.430,86,88,107,603,501,332
MSTRG.431,20,71,21,791,558,234
MSTRG.432,62,124,137,315,268,158
MSTRG.433,927,1399,1484,1185,1011,671
MSTRG.434,246,194,216,1250,917,585
MSTRG.435,79,203,141,901,529,467
MSTRG.436,133,191,154,127,78,88
MSTRG.437,30,30,39,170,190,92
MSTRG.440,13,0,0,9,2,3
MSTRG.445,75,115,153,1239,1072,618
gene-QOZ80_1AG0006610,6,0,0,0,6,7
gene-QOZ80_1AG0006620,0,0,0,8,0,0
MSTRG.446,464,640,862,1795,1541,818
MSTRG.449,5,0,0,174,294,64
MSTRG.448,0,11,0,19,13,5
MSTRG.447,108,88,121,499,323,193
gene-QOZ80_1AG0006700,0,0,0,145,131,59
MSTRG.450,94,134,152,165,110,73
MSTRG.451,757,1103,1264,4493,3562,2478
MSTRG.453,65,188,137,255,169,176
MSTRG.454,6,4,7,40,68,31
MSTRG.452,339,225,326,1213,1025,647
MSTRG.455,143,0,11,146,150,98
MSTRG.457,58,43,45,1274,855,467
MSTRG.458,78,40,60,269,177,92
MSTRG.459,186,245,183,1002,861,591
MSTRG.460,0,0,0,0,0,0
MSTRG.461,311,226,287,0,14,6
