transcript_id	baseMean	log2FoldChange_MLE	lfcSE_MLE	stat	pvalue	padj	log2FoldChange_apeglm	lfcSE_apeglm	is_novel_class_u	zero_in_all_controls	ctrl_raw_sum	drt_raw_sum	ctrl_n_nonzero	rank_by_padj
MSTRG.37504.6	142.835799032305	2.59245502205847	0.312784526477998	8.28830969117914	1.14869171901351e-16	5.96180303315534e-15	2.53504931928442	0.313883191430883	TRUE	FALSE	84	1224	3	1482
MSTRG.31435.1	225.156861500357	2.94000655140048	0.357936709558166	8.21376090490857	2.1436621760796e-16	1.06308229269835e-14	2.86957848203589	0.360339621986109	TRUE	FALSE	107	1872	3	1551
MSTRG.45098.4	225.36038127379	10.7003926349735	1.30278507463317	8.21347499547186	2.14877488953726e-16	1.06424544867056e-14	11.7977320479351	3.09738184401325	TRUE	TRUE	0	2318	0	1553
MSTRG.44482.2	157.024695048117	10.178626828625	1.24101176056251	8.20187781621941	2.36660771763479e-16	1.16538006285093e-14	11.2307017278415	3.00260002167555	TRUE	TRUE	0	1539	0	1562
MSTRG.8291.1	610.537891697808	4.26705288447609	0.520980922275469	8.19042061240754	2.6031482965109e-16	1.27695381073169e-14	4.15249094509226	0.526386538224365	TRUE	FALSE	127	6015	3	1568
MSTRG.4219.3	230.981436866597	10.7357301766549	1.31573475853222	8.15949423471277	3.36430335774276e-16	1.62443265139674e-14	11.8307537600576	3.10665588773576	TRUE	TRUE	0	2329	0	1593
MSTRG.26348.3	138.685840852494	9.99884490294101	1.22864239574368	8.13812459799487	4.01447596399453e-16	1.92627228772656e-14	11.037089388249	2.98104259281696	TRUE	TRUE	0	1337	0	1603
MSTRG.12749.5	139.775478348852	10.0101370501649	1.23161472985321	8.12765291574417	4.37682309516104e-16	2.08453313938391e-14	11.0482539983041	2.98325489272419	TRUE	TRUE	0	1347	0	1615
MSTRG.23360.1	24133.5888402584	3.30729367510434	0.407750320405785	8.11107560090445	5.01736248640787e-16	2.36036984933966e-14	3.21719069932542	0.411368583706542	TRUE	FALSE	8764	213103	3	1635
MSTRG.45554.1	126.595801500866	2.84699014255153	0.352376291447143	8.07940321654297	6.50844918708066e-16	3.0303292138177e-14	2.77743626355738	0.354599593138731	TRUE	FALSE	63	1109	3	1652
MSTRG.32660.3	383.722230551375	11.4674754975613	1.41970274046109	8.07737786984679	6.61742490959439e-16	3.07548321311947e-14	12.6046980756771	3.23638920716712	TRUE	TRUE	0	3554	0	1655
MSTRG.18108.4	154.671164986467	10.1574985908531	1.25900508667783	8.0678773249884	7.15308641039917e-16	3.31442137005225e-14	11.2038161166991	3.01579002851515	TRUE	TRUE	0	1551	0	1660
MSTRG.37372.7	139.487898211502	10.008572844443	1.2480043660331	8.01966172302443	1.06036776725913e-15	4.82891104524989e-14	11.0320849596918	2.98471502996394	TRUE	TRUE	0	1399	0	1689
MSTRG.19346.1	199.78860559397	10.5253948423934	1.31390803542088	8.01075460279219	1.14006733263374e-15	5.17043390472816e-14	11.5942109006671	3.08437743329277	TRUE	TRUE	0	1833	0	1696
MSTRG.27220.1	671.776034334384	2.22413926343652	0.277993443312536	8.00068964553245	1.23724275106145e-15	5.57825326397383e-14	2.17548073572308	0.279257606082764	TRUE	FALSE	483	5414	3	1706
MSTRG.5381.1	411.962670201742	2.61260269047301	0.327316923185229	7.98187476849321	1.44127218740535e-15	6.44525190922426e-14	2.5498058900797	0.329490609664335	TRUE	FALSE	236	3459	3	1720
MSTRG.44664.1	313.3457284144	2.98961691526694	0.374891852549364	7.97461159781616	1.52860769172468e-15	6.82390701244267e-14	2.91346000161311	0.377575635839468	TRUE	FALSE	146	2612	3	1723
MSTRG.15621.1	186.671292082354	10.4278713839102	1.31178437566092	7.94937916428249	1.87448517252889e-15	8.26245134758768e-14	11.4805202768788	3.06782304340484	TRUE	TRUE	0	1798	0	1745
MSTRG.34236.1	196.693339833052	10.5039049143058	1.32453997811322	7.93022867400983	2.18742723155021e-15	9.53800115471356e-14	11.5569188391678	3.07951493213793	TRUE	TRUE	0	1976	0	1764
MSTRG.16826.3	111.669056846883	9.68672679961673	1.22567261944	7.90319261928401	2.71849000713067e-15	1.17207452846676e-13	10.6841202179979	2.94534627901033	TRUE	TRUE	0	1088	0	1784
MSTRG.19657.1	128.64322900638	9.89180659263144	1.25236667505641	7.89849074528103	2.82300736177016e-15	1.21305730304623e-13	10.9020972123726	2.97966253018878	TRUE	TRUE	0	1291	0	1790
MSTRG.21211.2	155.787234434509	10.1674139296837	1.29399143929022	7.85740432352525	3.92175351765149e-15	1.64925924175615e-13	11.1957662348788	3.03319607671984	TRUE	TRUE	0	1535	0	1829
MSTRG.5080.1	108.4385956688	9.64473927254959	1.23035110635053	7.83901377644781	4.54098733126441e-15	1.89928832277795e-13	10.634144985295	2.94299203160372	TRUE	TRUE	0	1063	0	1839
MSTRG.470.1	128.002982099354	2.78576040549952	0.355462427582431	7.83700382751004	4.61423991666186e-15	1.92887767211891e-13	2.71396923891647	0.357962997342058	TRUE	FALSE	66	1059	3	1840
MSTRG.4146.1	313.887698406739	2.38123976936419	0.304905165723093	7.80977181451484	5.72916145776354e-15	2.36284135038498e-13	2.32434419375025	0.30630715166433	TRUE	FALSE	210	2583	3	1865
MSTRG.10211.1	143.139117510718	10.045692793128	1.2863962078624	7.80917475636907	5.75636395179772e-15	2.3727880282981e-13	11.0616696982543	3.01618098869694	TRUE	TRUE	0	1442	0	1866
MSTRG.36924.3	388.400275954343	11.4852665372684	1.47329251614585	7.79564574678894	6.40799271549877e-15	2.61615486039288e-13	12.5895530492305	3.25834947047586	TRUE	TRUE	0	3948	0	1884
MSTRG.25101.1	340.670011610026	1.78668408285553	0.229246469391669	7.7937256246375	6.50617448555329e-15	2.65201601963594e-13	1.75145581505395	0.229522754876886	TRUE	FALSE	316	2628	3	1887
MSTRG.36758.1	60.6385692364544	2.92265365141838	0.375193421701251	7.78972519871512	6.71550894311117e-15	2.73155368258742e-13	2.84515612758117	0.375596304197342	TRUE	FALSE	29	525	3	1891
MSTRG.42344.1	382.323981456798	2.80999547236298	0.361046353480937	7.78292162563373	7.08685404684394e-15	2.87738851361128e-13	2.73675659288818	0.363704416585179	TRUE	FALSE	197	3277	3	1895
MSTRG.45730.6	237.82774744155	10.7779346309907	1.38685388149942	7.77149977713438	7.75622157301648e-15	3.12839693094761e-13	11.8420034161369	3.14802461677495	TRUE	TRUE	0	2502	0	1907
MSTRG.15135.1	196.635435347112	2.22406473263969	0.286948688595072	7.75074018818112	9.13584384221073e-15	3.63717236444784e-13	2.1720582303326	0.28854469872379	TRUE	FALSE	140	1570	3	1932
MSTRG.40256.1	133.93806798735	9.94874155206502	1.28617754625471	7.73512302483844	1.03303159963289e-14	4.08522835727318e-13	10.9514513496001	3.00553304141679	TRUE	TRUE	0	1276	0	1945
MSTRG.18476.1	125.562086512757	9.85541367536764	1.27579770076194	7.72490314842372	1.11938420321282e-14	4.39508293815828e-13	10.8469557566144	2.98734103149017	TRUE	TRUE	0	1193	0	1959
MSTRG.21588.2	185.742878689901	10.4211949120435	1.35206486091766	7.70761463689729	1.28191141535341e-14	4.99750533881088e-13	11.454346787698	3.09109528097528	TRUE	TRUE	0	1858	0	1973
MSTRG.9649.1	207.675838263167	10.582452122059	1.3763736348529	7.68864780179401	1.48698171965221e-14	5.75033549172896e-13	11.6252311391172	3.12117555092593	TRUE	TRUE	0	2184	0	1989
MSTRG.12013.4	145.162976430083	10.0661006852702	1.31005214058995	7.68374049657075	1.54509492537283e-14	5.95411154182878e-13	11.0714865060673	3.02951295709875	TRUE	TRUE	0	1493	0	1995
MSTRG.39076.1	135.192048323455	9.96343061110385	1.30432268374833	7.63877737867073	2.19294095957743e-14	8.25425205108921e-13	10.9576351629105	3.01568739801141	TRUE	TRUE	0	1386	0	2044
MSTRG.23417.2	91.2078805428249	9.3949386264285	1.23041298780007	7.63559773798088	2.24775110967345e-14	8.45015992682076e-13	10.3382301495824	2.90431502381325	TRUE	TRUE	0	893	0	2046
MSTRG.42516.1	126.538949769825	9.86730979546576	1.29241429246617	7.63478851401207	2.26191413790025e-14	8.4992501096665e-13	10.8550572139595	2.99953241313685	TRUE	TRUE	0	1237	0	2047
