transcript_id	log2FC_old	log2FC_new_MLE	in_old_2354	in_new_2422
rna-ELECO.r07.1AG0003470.1	-0.876199	-0.866174	False	False
rna-ELECO.r07.1AG0003510.1	4.331327	3.694288	False	False
MSTRG.224.1	-1.860682	-1.874239	False	False
rna-ELECO.r07.1AG0003500.1	-2.608359	-2.595609	False	False
rna-ELECO.r07.1AG0003540.1	1.482593	1.488944	False	False
MSTRG.229.2	1.021501	1.029672	False	False
MSTRG.229.1	0.685637	0.687765	False	False
MSTRG.231.3	-0.297096	-0.264843	False	False
MSTRG.231.2	-0.992269	-0.962278	False	False
MSTRG.231.1	1.126080	1.114701	False	False
MSTRG.234.1	-2.189732	-1.993317	False	False
rna-ELECO.r07.1AG0003650.1	-0.073259	-0.075267	False	False
MSTRG.233.2	-2.268058	-2.216076	False	False
rna-ELECO.r07.1AG0003630.1	3.191703	3.194444	False	False
rna-ELECO.r07.1AG0003660.1	0.607097	0.667881	False	False
MSTRG.237.2	10.620002	6.891095	False	False
rna-ELECO.r07.1AG0003680.1	2.418498	2.390776	False	False
MSTRG.236.1	-0.222212	-0.253600	False	False
MSTRG.237.1	0.076216	0.081152	False	False
rna-ELECO.r07.1AG0003690.1	1.193311	1.198887	False	False
rna-ELECO.r07.1AG0003700.1	0.318149	0.317827	False	False
rna-ELECO.r07.1AG0003720.1	4.651388	3.776504	False	False
MSTRG.241.1	0.103472	0.115877	False	False
rna-ELECO.r07.1AG0003710.1	0.522683	0.529883	False	False
rna-ELECO.r07.1AG0003530.1	-3.452222	-3.443772	False	False
MSTRG.242.3	22.632999	6.622321	False	False
MSTRG.242.1	0.895822	0.906601	False	False
rna-ELECO.r07.1AG0003730.1	2.081176	2.086106	False	False
MSTRG.243.3	2.910044	2.913906	False	False
MSTRG.243.1	-0.657547	-0.647291	False	False
rna-ELECO.r07.1AG0003740.1	-1.351207	-1.343898	False	False
MSTRG.244.1	-0.124186	-0.127282	False	False
MSTRG.244.2	-1.024965	-1.012212	False	False
rna-ELECO.r07.1AG0003750.1	-2.033493	-1.664886	False	False
rna-ELECO.r07.1AG0003760.1	-1.557696	-1.550055	False	False
MSTRG.246.2	4.400016	4.363880	False	False
rna-ELECO.r07.1AG0003790.1	12.273073	8.473888	False	False
MSTRG.249.2	-24.962189	-6.652775	False	False
MSTRG.249.1	-2.280176	-2.261701	False	False
MSTRG.251.1	-0.306808	-0.320113	False	False
MSTRG.252.1	-0.161788	-0.223339	False	False
MSTRG.254.2	4.694694	4.660146	False	True
MSTRG.254.1	0.112331	0.111177	False	False
MSTRG.254.3	-2.684741	-2.586138	False	False
MSTRG.253.2	0.173758	0.157506	False	False
MSTRG.253.1	-1.240942	-1.229926	False	False
rna-ELECO.r07.1AG0003830.1	-1.662100	-1.640149	False	False
rna-ELECO.r07.1AG0003860.1	10.259736	7.078116	False	False
MSTRG.256.1	3.474134	3.395790	False	False
rna-ELECO.r07.1AG0003850.1	1.216384	1.220926	False	False
MSTRG.258.2	10.709242	8.312445	True	True
MSTRG.258.1	0.012845	0.008617	False	False
MSTRG.259.1	0.310677	0.294020	False	False
rna-ELECO.r07.1AG0003890.1	8.532542	6.297687	False	False
MSTRG.260.1	2.066265	2.054560	False	False
MSTRG.263.1	1.206446	1.210735	False	False
MSTRG.263.2	9.492705	5.225516	True	False
MSTRG.262.2	-1.611095	-1.531734	False	False
MSTRG.262.1	-0.939597	-0.930836	False	False
MSTRG.264.3	-2.329143	-2.336849	False	False
MSTRG.264.1	-1.798696	-1.789021	False	False
MSTRG.264.2	-1.568620	-1.563953	False	False
MSTRG.264.4	-2.364421	-2.325927	False	False
MSTRG.264.5	-2.077125	-2.046196	False	False
MSTRG.266.1	3.025060	3.026858	False	False
rna-ELECO.r07.1AG0004080.1	2.929445	2.909044	False	False
rna-ELECO.r07.1AG0004100.1	2.198105	2.105748	False	False
MSTRG.268.3	0.184124	0.181809	False	False
MSTRG.268.4	1.562858	1.552430	False	False
rna-ELECO.r07.1AG0004090.1	0.462165	0.468688	False	False
MSTRG.268.2	1.742538	1.748330	False	False
MSTRG.268.1	2.274071	2.269305	False	False
MSTRG.271.2	0.254879	0.266495	False	False
MSTRG.271.3	2.430230	2.417700	False	False
MSTRG.271.1	0.655577	0.666713	False	False
rna-ELECO.r07.1AG0004160.1	-2.183499	-2.151324	False	False
MSTRG.272.1	0.340136	0.343823	False	False
rna-ELECO.r07.1AG0004170.1	8.591302	4.557210	False	False
rna-ELECO.r07.1AG0004180.1	0.156627	0.153655	False	False
MSTRG.275.2	4.079317	4.019366	False	False
rna-ELECO.r07.1AG0004190.1	1.158341	1.155371	False	False
MSTRG.275.1	0.889517	0.893876	False	False
rna-ELECO.r07.1AG0004200.1	2.353865	2.202567	False	False
MSTRG.276.1	0.386635	0.371793	False	False
rna-ELECO.r07.1AG0004220.1	-4.413948	-4.307548	False	False
rna-ELECO.r07.1AG0004230.1	2.062365	2.072318	False	False
rna-ELECO.r07.1AG0004260.1	2.085804	2.085532	False	False
MSTRG.279.1	0.480471	0.480839	False	False
rna-ELECO.r07.1AG0004240.1	-2.077224	-2.070627	False	False
MSTRG.281.2	2.892243	2.879502	False	False
MSTRG.281.1	0.138675	0.145704	False	False
MSTRG.281.4	1.303155	1.317330	False	False
MSTRG.281.5	-1.968058	-1.951117	False	False
MSTRG.281.6	-0.293583	-0.285515	False	False
rna-ELECO.r07.1AG0004280.1	-0.731419	-0.720850	False	False
MSTRG.283.1	0.713874	0.718135	False	False
rna-ELECO.r07.1AG0004370.1	-3.430975	-3.336954	False	False
rna-ELECO.r07.1AG0004310.1	0.470210	0.478990	False	False
rna-ELECO.r07.1AG0004380.1	4.770314	4.762546	False	False
rna-ELECO.r07.1AG0004390.1	1.386496	1.064829	False	False
MSTRG.288.2	0.643499	0.649471	False	False
rna-ELECO.r07.1AG0004410.1	0.436964	0.440758	False	False
MSTRG.289.1	-6.797533	-5.749177	False	False
rna-ELECO.r07.1AG0004420.1	-1.435081	-1.376238	False	False
rna-ELECO.r07.1AG0004430.1	0.694125	0.680822	False	False
MSTRG.292.2	0.332175	0.329674	False	False
MSTRG.292.3	-1.094037	-1.105792	False	False
rna-ELECO.r07.1AG0004440.1	9.043509	4.962432	False	False
MSTRG.292.1	0.790408	0.795819	False	False
MSTRG.292.4	0.109404	0.121827	False	False
rna-ELECO.r07.1AG0004450.1	0.662112	0.670221	False	False
MSTRG.294.1	-1.198036	-1.189691	False	False
MSTRG.294.2	-1.933524	-1.906454	False	False
rna-ELECO.r07.1AG0004460.1	-1.983507	-1.936285	False	False
rna-ELECO.r07.1AG0004490.1	0.788623	0.792762	False	False
rna-ELECO.r07.1AG0004500.1	-3.102586	-2.586132	False	False
rna-ELECO.r07.1AG0004510.1	2.913935	2.900207	False	False
MSTRG.295.4	-2.824352	-2.763108	False	False
rna-ELECO.r07.1AG0004480.1	6.409039	2.816058	False	False
MSTRG.295.1	-0.012475	-0.008189	False	False
rna-ELECO.r07.1AG0004470.1	-1.101471	-1.090725	False	False
MSTRG.295.2	2.386749	2.356835	False	False
rna-ELECO.r07.1AG0004530.1	4.180407	3.986392	False	False
