transcript_id	baseMean	log2FoldChange_MLE	lfcSE_MLE	pvalue	padj	log2FoldChange_apeglm	lfcSE_apeglm	is_novel_class_u	rank_by_padj
MSTRG.35728.4	2098.6372020404	0.691702085729728	0.594767092379574	0.244837717577426	0.420311072533682	0.532190637325399	0.539470729450941	FALSE	40006
MSTRG.11798.1	230.781468946403	0.868579158975275	0.746897406417739	0.244863468481543	0.420344771874308	0.587795289307745	0.662796447850963	FALSE	40007
rna-ELECO.r07.1BG0055640.1	41.5927554343401	1.11561202786406	0.95934348718317	0.244873678362853	0.420351791706758	0.611028589200685	0.807227210613255	FALSE	40008
MSTRG.11625.2	134.616931884631	0.798093461581315	0.686334238029006	0.244896460880124	0.420359379678717	0.574498797468336	0.609996783786136	FALSE	40009
MSTRG.29514.3	20.0439760312303	1.67628760695387	1.44152922307409	0.244888860694709	0.420359379678717	0.487129105084981	0.985252822913023	FALSE	40010
MSTRG.38810.1	121.418665203411	1.06112087214166	0.912522954718944	0.244893233141181	0.420359379678717	0.597989083905806	0.787987825732221	TRUE	40011
MSTRG.4381.3	83.621456442013	1.1201021560698	0.963294876194653	0.244917872146315	0.420385624894147	0.602592014518985	0.817029976706058	TRUE	40012
rna-ELECO.r07.3AG0231940.1	159.666920469674	-0.777059627182715	0.668355948811466	0.244974217887976	0.420471830057991	-0.562143093671137	0.596661181658277	FALSE	40013
MSTRG.46278.3	40.0948184309401	-2.95350648794176	2.54054266401809	0.245012348629919	0.420526767611475	-0.221535576326849	1.01725668634634	FALSE	40014
MSTRG.37463.1	48.1609561966536	0.891098987181941	0.76653475750631	0.245031189865733	0.420548595716576	0.603109365129511	0.665436784468455	TRUE	40015
MSTRG.7881.2	252.259662811503	0.771455714399608	0.663692792705735	0.245085740352961	0.420600176815029	0.564355193780788	0.594770077410056	TRUE	40016
rna-ELECO.r07.5AG0360980.1	1243.29403718401	0.659402232679238	0.567282523145907	0.245078013422471	0.420600176815029	0.514966989973216	0.516021166796232	FALSE	40017
MSTRG.43428.1	226.540900371323	0.73616467622366	0.633326054313951	0.24508169671109	0.420600176815029	0.552889143404088	0.568525188029466	FALSE	40018
rna-ELECO.r07.9BG0711610.1	12.4605653683516	-3.28387676370352	2.82510145260822	0.245076065011693	0.420600176815029	-0.232440957081292	1.03795323494878	FALSE	40019
MSTRG.41023.5	15.814636278343	2.72138814526181	2.34145168717104	0.245127700151222	0.420661673937672	0.199267101904019	1.01517392518301	TRUE	40020
rna-ELECO.r07.3AG0225470.1	23.3443209109123	-1.48887502662703	1.28109644487648	0.245159072596803	0.420704999570306	-0.513149558713109	0.95661408103378	FALSE	40021
rna-ELECO.r07.3AG0248490.1	8.54371870957561	2.99947001107587	2.58094981607383	0.245171522030272	0.420715851031809	0.173102681050471	1.01830955219912	FALSE	40022
